# Row Date Midpoint VisitID Chip RA Dec eRA eDec Band Mag eMag Phase r
# - - TAI - - deg deg arcsec arcsec - - - deg au
28 2025-07-03 07:00:20 2025070200495 94 270.786210 -18.668402 0.067 0.074 r 17.953 0.03 2.626 4.438
29 2025-07-03 07:00:54 2025070200496 94 270.786006 -18.668399 0.051 0.073 r 17.948 0.03 2.626 4.438
30 2025-07-03 07:01:46 2025070200497 94 270.785735 -18.668441 0.058 0.074 r 17.951 0.03 2.626 4.438
31 2025-07-03 07:02:20 2025070200498 94 270.785494 -18.668414 0.053 0.072 r 17.948 0.03 2.626 4.438
32 2025-07-03 07:07:48 2025070200499 94 270.783508 -18.668359 0.051 0.073 r 17.947 0.03 2.627 4.438
33 2025-07-03 07:08:22 2025070200500 94 nan nan nan nan r 17.962 0.03 2.627 4.438
34 2025-07-03 07:09:07 2025070200501 94 nan nan nan nan r 17.954 0.03 2.627 4.438
35 2025-07-03 07:09:41 2025070200502 94 nan nan nan nan r 17.951 0.03 2.628 4.438
36 2025-07-03 07:10:31 2025070200503 94 nan nan nan nan r 17.952 0.03 2.628 4.438
37 2025-07-03 07:11:05 2025070200504 94 nan nan nan nan r 17.956 0.03 2.628 4.438
38 2025-07-03 07:11:55 2025070200505 94 nan nan nan nan r 17.967 0.03 2.628 4.438
39 2025-07-03 07:12:30 2025070200506 94 nan nan nan nan r 17.955 0.03 2.628 4.438
40 2025-07-03 07:13:19 2025070200507 94 nan nan nan nan r 17.952 0.03 2.628 4.438
41 2025-07-03 07:13:53 2025070200508 94 nan nan nan nan r 17.952 0.03 2.628 4.438
42 2025-07-04 06:36:15 2025070300497 98 270.262204 -18.654113 0.055 0.059 r nan nan 2.944 4.405
43 2025-07-05 01:23:40 2025070400162 137,144 nan nan nan nan y 17.461 0.10 3.204 4.379
44 2025-07-05 01:56:38 2025070400210 137,144 269.827654 -18.641391 0.057 0.064 y 17.476 0.10 3.212 4.379
45 2025-07-06 23:53:08 2025070600062 41 nan nan nan nan y nan nan 3.872 4.315
46 2025-07-07 00:44:03 2025070600140 41 nan nan nan nan y nan nan 3.884 4.314
47 2025-07-12 01:12:32 2025071100318 42 265.854190 -18.488537 0.042 0.043 i nan nan 5.729 4.147
48 2025-07-12 01:46:44 2025071100364 42 nan nan nan nan z nan nan 5.738 4.146
49 2025-07-12 04:39:06 2025071100563 59 265.768030 -18.484531 0.060 0.072 i nan nan 5.784 4.142
50 2025-07-12 05:13:58 2025071100611 59 nan nan nan nan z nan nan 5.794 4.142
51 2025-07-13 00:35:43 2025071200343 93 nan nan nan nan r nan nan 6.102 4.115
52 2025-07-13 03:13:21 2025071200518 30 265.203945 -18.457186 0.085 0.075 g 18.262 0.03 6.145 4.111
53 2025-07-13 03:14:43 2025071200520 3,6 nan nan nan nan g nan nan 6.145 4.111
54 2025-07-13 03:18:35 2025071200522 30 265.201767 -18.457068 0.056 0.060 i 17.389 0.05 6.146 4.111
55 2025-07-13 03:19:57 2025071200524 3,4,6,7 nan nan nan nan i 17.385 0.05 6.147 4.111
56 2025-07-13 03:23:44 2025071200526 30 nan nan nan nan r 17.675 0.03 6.148 4.111
57 2025-07-13 03:25:05 2025071200528 3,4,6,7 nan nan nan nan r nan nan 6.148 4.111
58 2025-07-13 03:28:52 2025071200530 30 nan nan nan nan y 17.204 0.10 6.149 4.111
59 2025-07-13 03:30:13 2025071200532 3,4,6,7 nan nan nan nan y 17.232 0.10 6.150 4.111
60 2025-07-13 03:33:59 2025071200534 30 265.195258 -18.456752 0.059 0.054 z 17.265 0.10 6.151 4.111
61 2025-07-13 03:38:59 2025071200538 30 nan nan nan nan g 18.279 0.03 6.152 4.111
62 2025-07-13 03:39:38 2025071200539 30,31 nan nan nan nan g 18.290 0.03 6.152 4.111
63 2025-07-13 03:44:01 2025071200542 30 nan nan nan nan i 17.402 0.05 6.153 4.111
64 2025-07-13 03:44:39 2025071200543 31 nan nan nan nan i 17.378 0.05 6.154 4.111
65 2025-07-13 03:48:58 2025071200546 30 nan nan nan nan r 17.637 0.03 6.155 4.110
66 2025-07-13 03:49:36 2025071200547 31 nan nan nan nan r 17.664 0.03 6.155 4.110
67 2025-07-13 03:53:56 2025071200550 30 nan nan nan nan y 17.176 0.10 6.156 4.110
68 2025-07-13 03:54:33 2025071200551 31 nan nan nan nan y 17.231 0.10 6.156 4.110
69 2025-07-13 03:58:53 2025071200554 30 265.184742 -18.456200 0.064 0.061 z 17.274 0.10 6.157 4.110
70 2025-07-13 03:59:31 2025071200555 31 nan nan nan nan z 17.258 0.10 6.158 4.110
71 2025-07-13 04:03:46 2025071200558 30 265.182679 -18.456142 0.075 0.074 g 18.268 0.03 6.159 4.110
72 2025-07-13 04:04:24 2025071200559 31 nan nan nan nan g 18.282 0.03 6.159 4.110
73 2025-07-13 04:08:42 2025071200562 30 nan nan nan nan i 17.416 0.05 6.160 4.110
74 2025-07-13 04:09:20 2025071200563 31 nan nan nan nan i 17.371 0.05 6.160 4.110
75 2025-07-13 04:13:34 2025071200566 30 265.178568 -18.455915 0.060 0.058 r 17.611 0.03 6.161 4.110
76 2025-07-13 04:14:11 2025071200567 31 265.178324 -18.455923 0.063 0.061 r 17.656 0.03 6.162 4.110
77 2025-07-13 04:18:26 2025071200570 30 nan nan nan nan y 17.132 0.10 6.163 4.110
78 2025-07-13 04:19:04 2025071200571 31 nan nan nan nan y 17.234 0.10 6.163 4.110
79 2025-07-13 04:23:19 2025071200574 30 nan nan nan nan z 17.264 0.10 6.164 4.110
80 2025-07-13 04:23:57 2025071200575 31 265.174176 -18.455696 0.061 0.063 z 17.257 0.10 6.164 4.110
81 2025-07-13 04:28:07 2025071200578 30 nan nan nan nan g 18.239 0.03 6.165 4.110
82 2025-07-13 04:28:45 2025071200579 31 nan nan nan nan g 18.285 0.03 6.165 4.110
83 2025-07-13 04:33:06 2025071200582 30 265.170335 -18.455511 0.054 0.058 i 17.411 0.05 6.167 4.109
84 2025-07-13 04:33:44 2025071200583 31 265.170039 -18.455497 0.048 0.055 i 17.380 0.05 6.167 4.109
85 2025-07-13 04:37:54 2025071200586 30 265.168291 -18.455395 0.055 0.062 r 17.582 0.03 6.168 4.109
86 2025-07-13 04:38:32 2025071200587 31 265.168023 -18.455378 0.048 0.045 r 17.650 0.03 6.168 4.109
87 2025-07-13 04:42:43 2025071200590 30 nan nan nan nan y nan nan 6.169 4.109
88 2025-07-13 04:43:20 2025071200591 31 nan nan nan nan y nan nan 6.169 4.109
89 2025-07-14 04:22:11 2025071300432 102 nan nan nan nan i nan nan 6.552 4.077
90 2025-07-14 04:56:49 2025071300480 102 nan nan nan nan z nan nan 6.561 4.076
91 2025-07-19 00:57:02 2025071800083 22 261.530749 -18.245460 0.053 0.057 g nan nan 8.488 3.916
92 2025-07-19 00:57:45 2025071800084 177 261.530413 -18.245412 0.082 0.078 g nan nan 8.488 3.916
93 2025-07-19 23:25:43 2025071900042 66 260.929564 -18.205121 0.042 0.044 r nan nan 8.868 3.885
94 2025-07-19 23:42:18 2025071900063 66 260.922118 -18.204647 0.038 0.039 i nan nan 8.873 3.885
95 2025-07-20 00:05:16 2025071900088 123 260.911789 -18.203959 0.086 0.075 u nan nan 8.880 3.884
96 2025-07-20 03:33:14 2025071900336 173 nan nan nan nan g nan nan 8.939 3.880
97 2025-07-20 04:15:08 2025071900384 80 260.799042 -18.196257 0.087 0.092 u nan nan 8.951 3.879
